Reference,Value,Datasheet,Footprint,Qty,DNP,#,Ordered,Part Number,Brand
"C1,C2,C5,C6,C7,C13,C14,C15,C16",0.1μF,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,9,,1,100,AC0805KRX7R9BB104 ,YAGEO 
"C3,C4",10μF,,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,2,,2,50,CL32B226KAJNNNE ,Samsung Electro-Mechanics 
C8,100pF,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,,3,10,C0805C101J5GACTU ,KEMET 
"C9,C10,C11,C12",22μF,,Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,4,,4,50,CL31B106KBHNNNE ,Samsung Electro-Mechanics 
D1,BAT54S,https://www.diodes.com/assets/Datasheets/ds11005.pdf,Package_TO_SOT_SMD:SOT-23,1,,5,10,BAT54SFILM ,STMicroelectronics 
D2,LED,,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,1,,6,10,INL-5TB4URGB60 ,Inolux 
D2,,,,1,,6,10,SSH-LXH501 ,Lumex Opto/Components Inc. 
"L1,L2",6.8μH,,Inductor_SMD:L_TechFuse_SL0630,2,,7,25,ASPI-0630LR-6R8M-T15 ,Abracon LLC
MCU1,ESP32-DEVKIT-V1,,Ehryk:ESP32_DEVKIT_V1,1,,8,,,
Q1,‎AO3400A‎ ,https://www.aosmd.com/res/datasheets/AOSS32334C.pdf,Package_TO_SOT_SMD:SOT-23-3,1,,9,10,‎AO3400A‎ ,UMW
R1,TE-SPDT,,Ehryk:TE-SPDT,1,,10,,,
"R2,R3",220Ω,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,,11,25,CRGCQ0805F220R ,TE Connectivity Passive Product 
"R4,R5,R12,R13",10kΩ,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,4,,12,50,CRGCQ0805F10K ,TE Connectivity Passive Product 
R6,220kΩ,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,,13,10,CRGCQ0805F220K ,TE Connectivity Passive Product 
R7,22kΩ,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,,14,10,CRGCQ0805F22K ,TE Connectivity Passive Product 
R8,160kΩ,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,,15,10,RNCF0805DTE160K ,Stackpole Electronics Inc 
R8_Alt,162kΩ,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,,15,10,ERJ-PB6D1623V ,Panasonic Industry 
R9,10kΩ,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,,30,10,RNCF0805DTE10K0 ,Stackpole Electronics Inc 
R9_Alt,30kΩ,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,,30,10,RNCF0805DTE30K0 ,Stackpole Electronics Inc 
"R10,R11",2.7kΩ,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,,16,25,CRGCQ0805F2K7 ,TE Connectivity Passive Product 
R14,68Ω,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,,31,10,CRGCQ0805F68R‎ ,TE Connectivity Passive Product 
"R15,R16",10Ω,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,,17,25,CRGCQ0805F10R‎ ,TE Connectivity Passive Product 
U1,AP63203WU,https://www.diodes.com/assets/Datasheets/AP63200-AP63201-AP63203-AP63205.pdf,Package_TO_SOT_SMD:TSOT-23-6,1,,18,10,AP63203QWU-7 ,Diodes Incorporated 
U2,AP63201WU,https://www.diodes.com/assets/Datasheets/AP63200-AP63201-AP63203-AP63205.pdf,Package_TO_SOT_SMD:TSOT-23-6,1,,19,10,AP63201QWU-7 ,Diodes Incorporated 
U3,LTV-827S,http://www.us.liteon.com/downloads/LTV-817-827-847.PDF,Package_DIP:SMDIP-8_W9.53mm,1,,20,10,LTV-827S-TA1 ,LITEON 
W1,V+,,Ehryk:WIRE-14AWG,1,,21,,,
W2,3V3,,Ehryk:WIRE-16AWG,1,,22,,,
W3,12V,,Ehryk:WIRE-16AWG,1,,23,,,
W4,V-,,Ehryk:WIRE-14AWG,1,,24,,,
W5,CO,,Ehryk:WIRE-14AWG,1,,25,,,
W6,NC,,Ehryk:WIRE-14AWG,1,,26,,,
W7,NO,,Ehryk:WIRE-14AWG,1,,27,,,
W8,ON,,Ehryk:WIRE-18AWG,1,,28,,,
W9,LT,,Ehryk:WIRE-18AWG,1,,29,,,
